2020-09-07 04:18:11.7143 INFO Total catalogs: 79
2020-09-07 04:18:11.9865 INFO Total catalogs: 79
2020-09-07 04:18:12.1173 INFO Total files: 225
2020-09-07 04:18:12.5958 INFO Total files: 225
2020-09-07 04:18:13.1632 INFO 'img1.mpeg:' 035128c873c8fde1e4e8ebc2013d3cb2 => 035128c873c8fde1e4e8ebc2013d3cb2
2020-09-07 04:18:13.5711 INFO 'img2.bdrip:' e9b737404a2d134e6bef4b14c5edc598 => e9b737404a2d134e6bef4b14c5edc598
2020-09-07 04:18:13.8269 INFO 'img0.wma:' 9819e71e652f7337e2b0cb1104de278d => 9819e71e652f7337e2b0cb1104de278d
2020-09-07 04:18:14.4657 INFO 'img2.alac:' af87878d38864abbc9dc290e9a5cc7c2 => af87878d38864abbc9dc290e9a5cc7c2
2020-09-07 04:18:14.7906 INFO 'img2.jpeg:' 07423c5cb9397eea6d5179201fb107bf => 07423c5cb9397eea6d5179201fb107bf
2020-09-07 04:18:15.1300 INFO 'img0.dvd:' 601076c0d0caf4f6bb61a752b1a0a704 => 601076c0d0caf4f6bb61a752b1a0a704
2020-09-07 04:18:15.4874 INFO 'img1.dv:' b99b8d8d00f1e60d63ed7b8df6895546 => b99b8d8d00f1e60d63ed7b8df6895546
2020-09-07 04:18:15.9049 INFO 'img0.bdrip:' 276c1078df2e58d839663bfe62003072 => 276c1078df2e58d839663bfe62003072
2020-09-07 04:18:16.3172 INFO 'img0.mpeg:' c1464441aa62b7e0d9f1105469782c1e => c1464441aa62b7e0d9f1105469782c1e
2020-09-07 04:18:16.6661 INFO 'img1.dvdrip:' d605d4061c1aaaea3dda37be6e50e1bc => d605d4061c1aaaea3dda37be6e50e1bc
2020-09-07 04:18:16.9832 INFO 'img0.dv:' 1e3ccd91431c7f74a7e4a672542b80a1 => 1e3ccd91431c7f74a7e4a672542b80a1
2020-09-07 04:18:17.4045 INFO 'img0.dvd:' 9f035145beb8e8757872f251b777db68 => 9f035145beb8e8757872f251b777db68
2020-09-07 04:18:18.0321 INFO 'img1.bdrip:' fe72ed65e371afcb60cc73d204bc1763 => fe72ed65e371afcb60cc73d204bc1763
2020-09-07 04:18:18.4708 INFO 'img1.hdrip:' 20a07b713ba62d4ca86dd72f8cddfddb => 20a07b713ba62d4ca86dd72f8cddfddb
2020-09-07 04:18:19.2151 INFO 'img2.bdrip:' 446955e0e372fd4efc85b70bb0bce7fe => 446955e0e372fd4efc85b70bb0bce7fe
2020-09-07 04:18:19.5540 INFO 'img2.mov:' 59925c61f1f6eb53886d424cb11e1c07 => 59925c61f1f6eb53886d424cb11e1c07
2020-09-07 04:18:19.8172 INFO 'img3.avi:' ff853ecc038750eaf9059b22901363b9 => ff853ecc038750eaf9059b22901363b9
2020-09-07 04:18:19.8172 INFO 'sadas.txt:' d41d8cd98f00b204e9800998ecf8427e => d41d8cd98f00b204e9800998ecf8427e
2020-09-07 04:18:20.3093 INFO 'img0.avi:' 8d10cb85e2523e211ff853721710be9f => 8d10cb85e2523e211ff853721710be9f
2020-09-07 04:18:20.6399 INFO 'img0.dvdrip:' 4da82a50b4e5785de12d294f513a0d54 => 4da82a50b4e5785de12d294f513a0d54
2020-09-07 04:18:20.9203 INFO 'img1.hdrip:' c38fee356c7074d152d7942f1b8e8648 => c38fee356c7074d152d7942f1b8e8648
2020-09-07 04:18:21.2717 INFO 'img2.dvdrip:' 555b6711c59c09ee8357297a25032d40 => 555b6711c59c09ee8357297a25032d40
2020-09-07 04:18:21.7576 INFO 'img3.mpeg:' 2cfa1e75f6b504e0bfe94c187ee03450 => 2cfa1e75f6b504e0bfe94c187ee03450
2020-09-07 04:18:22.0423 INFO 'img0.dv:' 762393f8b28c33f8599e67bc95e843a9 => 762393f8b28c33f8599e67bc95e843a9
2020-09-07 04:18:22.4089 INFO 'img0.dvd:' 0de19782a27aea66e1073f0537b70876 => 0de19782a27aea66e1073f0537b70876
2020-09-07 04:18:22.9266 INFO 'img0.mpeg:' 60c3810a3eb3326be3cc512a2647e2e1 => 60c3810a3eb3326be3cc512a2647e2e1
2020-09-07 04:18:23.3407 INFO 'img1.avi:' 3c58e9d762b7e4992c23d3604072d4a3 => 3c58e9d762b7e4992c23d3604072d4a3
2020-09-07 04:18:23.5164 INFO 'img1.dvd:' 9cc52e0730791e168c8b8844dc1d7e10 => 9cc52e0730791e168c8b8844dc1d7e10
2020-09-07 04:18:23.9960 INFO 'img2.hdrip:' 38b8f046da93b7f5472e76293ef1ac0e => 38b8f046da93b7f5472e76293ef1ac0e
2020-09-07 04:18:24.3195 INFO 'img2.mpeg:' 677e6f8be77f24cea50b03c87a334d37 => 677e6f8be77f24cea50b03c87a334d37
2020-09-07 04:18:24.6039 INFO 'img3.dv:' 49c056d1724667238fde02c11588a21f => 49c056d1724667238fde02c11588a21f
2020-09-07 04:18:24.9846 INFO 'img0.flv:' 2fd0a574590391b463a43b77f7548946 => 2fd0a574590391b463a43b77f7548946
2020-09-07 04:18:25.7814 INFO 'img0.mov:' 71e1aaad22dafe025792c0eb2845d0ad => 71e1aaad22dafe025792c0eb2845d0ad
2020-09-07 04:18:26.0447 INFO 'img1.hdrip:' 35cdac3cc03c5b7c69d17b1ac0810fc9 => 35cdac3cc03c5b7c69d17b1ac0810fc9
2020-09-07 04:18:26.7835 INFO 'img2.hdrip:' 0a2a03ffd29cfbd95957b25e235218a8 => 0a2a03ffd29cfbd95957b25e235218a8
2020-09-07 04:18:27.2181 INFO 'img0.avi:' 597e02a6d40b1bcf4e425c8bec03ec65 => 597e02a6d40b1bcf4e425c8bec03ec65
2020-09-07 04:18:27.4464 INFO 'img0.dv:' 171b10144edc68859926f581c110d8bc => 171b10144edc68859926f581c110d8bc
2020-09-07 04:18:27.8184 INFO 'img0.mov:' 58eea3c8dce00bdb305f2dbdf06fa4df => 58eea3c8dce00bdb305f2dbdf06fa4df
2020-09-07 04:18:28.2043 INFO 'img1.bdrip:' 677acb857aff3b4025414826e433e69f => 677acb857aff3b4025414826e433e69f
2020-09-07 04:18:28.5066 INFO 'img1.dv:' 9c01586c682e3aa3073c7a8a33442ae6 => 9c01586c682e3aa3073c7a8a33442ae6
2020-09-07 04:18:28.8868 INFO 'img1.mov:' dcd494ec5b53350b516118c2d33d827c => dcd494ec5b53350b516118c2d33d827c
2020-09-07 04:18:29.1006 INFO 'img2.mpeg:' a8b1f00376413c10d92dcba5cc2f268e => a8b1f00376413c10d92dcba5cc2f268e
2020-09-07 04:18:29.2700 INFO 'img0.hdrip:' 2adfaac1bda0044ee26380a0729f8d7c => 2adfaac1bda0044ee26380a0729f8d7c
2020-09-07 04:18:29.6078 INFO 'img1.dvdrip:' ec0d7a5759c23a845c3c75f574c5321e => ec0d7a5759c23a845c3c75f574c5321e
2020-09-07 04:18:29.9325 INFO 'img2.dvdrip:' 198e8b8b153033e521823984fe2ac823 => 198e8b8b153033e521823984fe2ac823
2020-09-07 04:18:30.1249 INFO 'img0.avi:' d650e7c84ce473b475277ea28e6ec1bb => d650e7c84ce473b475277ea28e6ec1bb
2020-09-07 04:18:30.4588 INFO 'img0.dvdrip:' f48863146c5c84eb3700827dc0e59397 => f48863146c5c84eb3700827dc0e59397
2020-09-07 04:18:30.7778 INFO 'img1.bdrip:' 491dfdf7b1a42f5b604a33a2225fb771 => 491dfdf7b1a42f5b604a33a2225fb771
2020-09-07 04:18:31.0950 INFO 'img1.dvdrip:' a375aafa1ba01baf13782cb8ba4bbeaf => a375aafa1ba01baf13782cb8ba4bbeaf
2020-09-07 04:18:31.3797 INFO 'img1.mov:' 509d3af2df5a9d7a4791685e88ae7337 => 509d3af2df5a9d7a4791685e88ae7337
2020-09-07 04:18:31.7310 INFO 'img2.bdrip:' c112bea13789fe100c6fb5bd867155d0 => c112bea13789fe100c6fb5bd867155d0
2020-09-07 04:18:32.1954 INFO 'img2.mov:' f4725e4e37e986c47967d37f5e33bc0e => f4725e4e37e986c47967d37f5e33bc0e
2020-09-07 04:18:32.4189 INFO 'img3.dv:' 4f8dae22b01a7cd80022f83a1e2c0d30 => 4f8dae22b01a7cd80022f83a1e2c0d30
2020-09-07 04:18:32.6868 INFO 'img3.hdrip:' d1125c50d31db99e4bf36f568643e2f3 => d1125c50d31db99e4bf36f568643e2f3
2020-09-07 04:18:33.0104 INFO 'img0.dvd:' 6a4dd297303496944dd3b798a523046c => 6a4dd297303496944dd3b798a523046c
2020-09-07 04:18:33.2722 INFO 'img0.hdrip:' d44e8e7ca19ff5213af6d6a891af28df => d44e8e7ca19ff5213af6d6a891af28df
2020-09-07 04:18:34.0949 INFO 'img1.mov:' d0a5f48dff3138021bfc497782f4174a => d0a5f48dff3138021bfc497782f4174a
2020-09-07 04:18:34.4600 INFO 'img2.avi:' 16d4fbab9930ceaec008e57da7c0def6 => 16d4fbab9930ceaec008e57da7c0def6
2020-09-07 04:18:34.7011 INFO 'img0.wav:' 906e08eec86653df6f36155ac6364087 => 906e08eec86653df6f36155ac6364087
2020-09-07 04:18:34.8313 INFO 'img1.wav:' 75b7d661c16171d621ce780db02aa38f => 75b7d661c16171d621ce780db02aa38f
2020-09-07 04:18:35.0211 INFO 'img0.alac:' f6ddaf044f485f2e018f1f43dae6f54e => f6ddaf044f485f2e018f1f43dae6f54e
2020-09-07 04:18:35.2185 INFO 'img0.mp3:' 1abb1a92c8ff53cb1de48cd33ca9caef => 1abb1a92c8ff53cb1de48cd33ca9caef
