2020-09-08 20:42:17.8713 INFO Total catalogs: 139
2020-09-08 20:42:18.2203 INFO Total catalogs: 139
2020-09-08 20:42:18.2899 INFO Total files: 419
2020-09-08 20:42:18.3887 INFO Total files: 419
2020-09-08 20:42:32.7308 INFO 'img2.raw:' b2c005a4ddd7d73ac781c4d295ab4ac4 => b2c005a4ddd7d73ac781c4d295ab4ac4
2020-09-08 20:42:33.2468 INFO 'img3.jpeg:' cfae373972026cc64adaa337e3521b7b => cfae373972026cc64adaa337e3521b7b
2020-09-08 20:42:33.6038 INFO 'img3.psd:' 4b28b58a71a706db65b1c364f9171815 => 4b28b58a71a706db65b1c364f9171815
2020-09-08 20:42:34.0286 INFO 'img3.raw:' 383b51d181d2284f6ae336009a77cba8 => 383b51d181d2284f6ae336009a77cba8
2020-09-08 20:42:34.5223 INFO 'img0.dvd:' 601076c0d0caf4f6bb61a752b1a0a704 => 601076c0d0caf4f6bb61a752b1a0a704
2020-09-08 20:42:35.0626 INFO 'img1.dv:' b99b8d8d00f1e60d63ed7b8df6895546 => b99b8d8d00f1e60d63ed7b8df6895546
2020-09-08 20:42:35.5018 INFO 'img0.bdrip:' 276c1078df2e58d839663bfe62003072 => 276c1078df2e58d839663bfe62003072
2020-09-08 20:42:35.8628 INFO 'img0.mpeg:' c1464441aa62b7e0d9f1105469782c1e => c1464441aa62b7e0d9f1105469782c1e
2020-09-08 20:42:36.1759 INFO 'img1.dvdrip:' d605d4061c1aaaea3dda37be6e50e1bc => d605d4061c1aaaea3dda37be6e50e1bc
2020-09-08 20:42:36.5213 INFO 'img0.dv:' 1e3ccd91431c7f74a7e4a672542b80a1 => 1e3ccd91431c7f74a7e4a672542b80a1
2020-09-08 20:42:37.1776 INFO 'img0.dvd:' 9f035145beb8e8757872f251b777db68 => 9f035145beb8e8757872f251b777db68
2020-09-08 20:42:37.8057 INFO 'img1.bdrip:' fe72ed65e371afcb60cc73d204bc1763 => fe72ed65e371afcb60cc73d204bc1763
2020-09-08 20:42:38.2630 INFO 'img1.hdrip:' 20a07b713ba62d4ca86dd72f8cddfddb => 20a07b713ba62d4ca86dd72f8cddfddb
2020-09-08 20:42:38.7176 INFO 'img2.bdrip:' 446955e0e372fd4efc85b70bb0bce7fe => 446955e0e372fd4efc85b70bb0bce7fe
2020-09-08 20:42:39.1306 INFO 'img2.mov:' 59925c61f1f6eb53886d424cb11e1c07 => 59925c61f1f6eb53886d424cb11e1c07
2020-09-08 20:42:39.5695 INFO 'img3.avi:' ff853ecc038750eaf9059b22901363b9 => ff853ecc038750eaf9059b22901363b9
2020-09-08 20:42:39.6402 INFO 'sadas.txt:' d41d8cd98f00b204e9800998ecf8427e => d41d8cd98f00b204e9800998ecf8427e
2020-09-08 20:42:40.1159 INFO 'img0.mpeg:' 17ec08620e211d607c2cf9a466153fca => 17ec08620e211d607c2cf9a466153fca
2020-09-08 20:42:40.6890 INFO 'img1.flv:' 2e3ed14c7910dca5e662b458ff8dbca5 => 2e3ed14c7910dca5e662b458ff8dbca5
2020-09-08 20:42:41.7266 INFO 'img2.mpeg:' 34d411c59f935c7fe3ebb782f74957f5 => 34d411c59f935c7fe3ebb782f74957f5
2020-09-08 20:42:42.0025 INFO 'img0.avi:' eac498296e6589482c7f0ce19bf05819 => eac498296e6589482c7f0ce19bf05819
2020-09-08 20:42:42.3327 INFO 'img0.dvdrip:' 4da82a50b4e5785de12d294f513a0d54 => 4da82a50b4e5785de12d294f513a0d54
2020-09-08 20:42:43.7884 INFO 'img0.mpeg:' adfa422bbb0a666d488b979f7b8755cd => adfa422bbb0a666d488b979f7b8755cd
2020-09-08 20:42:44.1688 INFO 'img1.avi:' c8e26427026146cb8100b8a977dce49e => c8e26427026146cb8100b8a977dce49e
2020-09-08 20:42:44.7867 INFO 'img1.flv:' 7a94037f69028aaffc1e40e70514d148 => 7a94037f69028aaffc1e40e70514d148
2020-09-08 20:42:45.1951 INFO 'img1.hdrip:' c38fee356c7074d152d7942f1b8e8648 => c38fee356c7074d152d7942f1b8e8648
2020-09-08 20:42:45.6764 INFO 'img2.avi:' a07c45db5b587206e0ae0efc57486223 => a07c45db5b587206e0ae0efc57486223
2020-09-08 20:42:46.1572 INFO 'img2.dvdrip:' 555b6711c59c09ee8357297a25032d40 => 555b6711c59c09ee8357297a25032d40
2020-09-08 20:42:46.8529 INFO 'img3.mpeg:' 2cfa1e75f6b504e0bfe94c187ee03450 => 2cfa1e75f6b504e0bfe94c187ee03450
2020-09-08 20:42:47.2687 INFO 'img0.flv:' e7c67673b0d876848716645961f347f7 => e7c67673b0d876848716645961f347f7
2020-09-08 20:42:47.7471 INFO 'img1.mpeg:' 59c83d688f9cc3ba86c12c3a4b05ec60 => 59c83d688f9cc3ba86c12c3a4b05ec60
2020-09-08 20:42:48.1586 INFO 'img2.avi:' 7883238705744cc8d04430c5dd950ca6 => 7883238705744cc8d04430c5dd950ca6
2020-09-08 20:42:48.7757 INFO 'img3.mov:' c1a8bc46457fc26ac9ddb5fcbc89ec3f => c1a8bc46457fc26ac9ddb5fcbc89ec3f
2020-09-08 20:42:49.1007 INFO 'img0.dvdrip:' 79080188a6d574f6d3781f822905e589 => 79080188a6d574f6d3781f822905e589
2020-09-08 20:42:49.4345 INFO 'img1.dv:' d9096ff1d0638783c581871bea3ca91d => d9096ff1d0638783c581871bea3ca91d
2020-09-08 20:42:49.7146 INFO 'img2.mov:' 8ca4fe7f2f392b8dbbd7983938893e12 => 8ca4fe7f2f392b8dbbd7983938893e12
2020-09-08 20:42:49.9556 INFO 'img3.mov:' 8537606824f93fce5dcdd091666af023 => 8537606824f93fce5dcdd091666af023
2020-09-08 20:42:50.1763 INFO 'img0.bdrip:' bd68d0725afb1269b02a12aace33228f => bd68d0725afb1269b02a12aace33228f
2020-09-08 20:42:50.4274 INFO 'img0.dv:' 762393f8b28c33f8599e67bc95e843a9 => 762393f8b28c33f8599e67bc95e843a9
2020-09-08 20:42:50.7531 INFO 'img0.dvd:' 0de19782a27aea66e1073f0537b70876 => 0de19782a27aea66e1073f0537b70876
2020-09-08 20:42:51.2479 INFO 'img0.mpeg:' 60c3810a3eb3326be3cc512a2647e2e1 => 60c3810a3eb3326be3cc512a2647e2e1
2020-09-08 20:42:51.6595 INFO 'img1.avi:' 3c58e9d762b7e4992c23d3604072d4a3 => 3c58e9d762b7e4992c23d3604072d4a3
2020-09-08 20:42:51.8769 INFO 'img1.dvd:' 9cc52e0730791e168c8b8844dc1d7e10 => 9cc52e0730791e168c8b8844dc1d7e10
2020-09-08 20:42:52.2139 INFO 'img1.flv:' 934e318ecd4ec98368b14d6825a39481 => 934e318ecd4ec98368b14d6825a39481
2020-09-08 20:42:52.6858 INFO 'img2.hdrip:' 38b8f046da93b7f5472e76293ef1ac0e => 38b8f046da93b7f5472e76293ef1ac0e
2020-09-08 20:42:53.0062 INFO 'img2.mpeg:' 677e6f8be77f24cea50b03c87a334d37 => 677e6f8be77f24cea50b03c87a334d37
2020-09-08 20:42:53.3227 INFO 'img3.dv:' 49c056d1724667238fde02c11588a21f => 49c056d1724667238fde02c11588a21f
2020-09-08 20:42:53.8686 INFO 'img0.flv:' 2fd0a574590391b463a43b77f7548946 => 2fd0a574590391b463a43b77f7548946
2020-09-08 20:42:54.2438 INFO 'img0.mov:' 71e1aaad22dafe025792c0eb2845d0ad => 71e1aaad22dafe025792c0eb2845d0ad
2020-09-08 20:42:54.5698 INFO 'img1.hdrip:' 35cdac3cc03c5b7c69d17b1ac0810fc9 => 35cdac3cc03c5b7c69d17b1ac0810fc9
2020-09-08 20:42:55.2538 INFO 'img2.hdrip:' 0a2a03ffd29cfbd95957b25e235218a8 => 0a2a03ffd29cfbd95957b25e235218a8
2020-09-08 20:42:55.5022 INFO 'img0.dv:' 233cee08bacde21c1c90ebe48332a96b => 233cee08bacde21c1c90ebe48332a96b
2020-09-08 20:42:55.8112 INFO 'img1.flv:' 219a195a8b1f82bf6e5bf6c1dd38e28e => 219a195a8b1f82bf6e5bf6c1dd38e28e
2020-09-08 20:42:56.1968 INFO 'img2.dvd:' acd5ebaa2c9933ceda3743d7733f9ede => acd5ebaa2c9933ceda3743d7733f9ede
2020-09-08 20:42:56.9764 INFO 'img0.avi:' 597e02a6d40b1bcf4e425c8bec03ec65 => 597e02a6d40b1bcf4e425c8bec03ec65
2020-09-08 20:42:57.3065 INFO 'img0.bdrip:' ddde48c7e312d935906ccf487bdb60de => ddde48c7e312d935906ccf487bdb60de
2020-09-08 20:42:57.9616 INFO 'img0.dv:' 171b10144edc68859926f581c110d8bc => 171b10144edc68859926f581c110d8bc
2020-09-08 20:42:58.3681 INFO 'img0.dvdrip:' 9e473ea559f4dff55d984b13de242471 => 9e473ea559f4dff55d984b13de242471
2020-09-08 20:42:58.9960 INFO 'img0.mov:' 58eea3c8dce00bdb305f2dbdf06fa4df => 58eea3c8dce00bdb305f2dbdf06fa4df
2020-09-08 20:42:59.4391 INFO 'img1.bdrip:' 677acb857aff3b4025414826e433e69f => 677acb857aff3b4025414826e433e69f
2020-09-08 20:42:59.9532 INFO 'img1.dv:' 9c01586c682e3aa3073c7a8a33442ae6 => 9c01586c682e3aa3073c7a8a33442ae6
2020-09-08 20:43:00.3406 INFO 'img1.flv:' d6da4fad52d4be7b2dc55c70ca62ef89 => d6da4fad52d4be7b2dc55c70ca62ef89
2020-09-08 20:43:01.0565 INFO 'img1.mov:' d8db5f7d99a49751f969b192c64919a8 => d8db5f7d99a49751f969b192c64919a8
2020-09-08 20:43:01.5022 INFO 'img2.hdrip:' f994f0644787c6f7232e1e43b0eb8529 => f994f0644787c6f7232e1e43b0eb8529
2020-09-08 20:43:01.8523 INFO 'img2.mpeg:' a8b1f00376413c10d92dcba5cc2f268e => a8b1f00376413c10d92dcba5cc2f268e
2020-09-08 20:43:02.2889 INFO 'img3.hdrip:' 36623e068aedc6655462a729a2ee6e0b => 36623e068aedc6655462a729a2ee6e0b
2020-09-08 20:43:02.6384 INFO 'img0.avi:' f2866d8118220be94fc23905c94cd27b => f2866d8118220be94fc23905c94cd27b
2020-09-08 20:43:03.0692 INFO 'img1.mov:' a5c2a4ae6cb3a222c420a20c365af70b => a5c2a4ae6cb3a222c420a20c365af70b
2020-09-08 20:43:03.7040 INFO 'img0.hdrip:' 2adfaac1bda0044ee26380a0729f8d7c => 2adfaac1bda0044ee26380a0729f8d7c
2020-09-08 20:43:04.4049 INFO 'img1.dvdrip:' ec0d7a5759c23a845c3c75f574c5321e => ec0d7a5759c23a845c3c75f574c5321e
2020-09-08 20:43:04.7990 INFO 'img2.dvdrip:' 198e8b8b153033e521823984fe2ac823 => 198e8b8b153033e521823984fe2ac823
